nominees,details,award_show,year,award,winner,ref_year
Kedi,,Chicago Film Critics,2017,Best Documentary,0,3
Baby Driver,"Jonathan Amos, Paul Machliss",Chicago Film Critics,2017,Best Editing,1,3
Call Me by Your Name,Walter Fasano,Chicago Film Critics,2017,Best Editing,0,3
Dunkirk,Lee Smith,Chicago Film Critics,2017,Best Editing,0,3
Get Out,Gregory Plotkin,Chicago Film Critics,2017,Best Editing,0,3
The Florida Project,Sean Baker,Chicago Film Critics,2017,Best Editing,0,3
The Square,,Chicago Film Critics,2017,Best Foreign Language Film,1,3
A Fantastic Woman,,Chicago Film Critics,2017,Best Foreign Language Film,0,3
BPM (Beats Per Minute),,Chicago Film Critics,2017,Best Foreign Language Film,0,3
Capernaum,Nadine Labaki,Chicago Film Critics,2017,Best Foreign Language Film,0,3
Loveless,,Chicago Film Critics,2017,Best Foreign Language Film,0,3
Raw,,Chicago Film Critics,2017,Best Foreign Language Film,0,3
Phantom Thread,Jonny Greenwood,Chicago Film Critics,2017,Best Original Score,1,3
Blade Runner 2049,"Benjamin Wallfisch, Hans Zimmer",Chicago Film Critics,2017,Best Original Score,0,3
Dunkirk,Hans Zimmer,Chicago Film Critics,2017,Best Original Score,0,3
The Shape of Water,Alexandre Desplat,Chicago Film Critics,2017,Best Original Score,0,3
War for the Planet of the Apes,Michael Giacchino,Chicago Film Critics,2017,Best Original Score,0,3
Get Out,Jordan Peele,Chicago Film Critics,2017,Best Original Screenplay,1,3
Lady Bird,Greta Gerwig,Chicago Film Critics,2017,Best Original Screenplay,0,3
Phantom Thread,Paul Thomas Anderson,Chicago Film Critics,2017,Best Original Screenplay,0,3
The Big Sick,"Emily V. Gordon, Kumail Nanjiani",Chicago Film Critics,2017,Best Original Screenplay,0,3
The Shape of Water,"Guillermo del Toro, Vanessa Taylor",Chicago Film Critics,2017,Best Original Screenplay,0,3
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Chicago Film Critics,2017,Best Original Screenplay,0,3
Lady Bird,,Chicago Film Critics,2017,Best Picture,1,3
Call Me by Your Name,,Chicago Film Critics,2017,Best Picture,0,3
Dunkirk,,Chicago Film Critics,2017,Best Picture,0,3
The Shape of Water,,Chicago Film Critics,2017,Best Picture,0,3
"Three Billboards Outside Ebbing, Missouri",,Chicago Film Critics,2017,Best Picture,0,3
Willem Dafoe,The Florida Project,Chicago Film Critics,2017,Best Supporting Actor,1,3
Armie Hammer,Call Me by Your Name,Chicago Film Critics,2017,Best Supporting Actor,0,3
Jason Mitchell,Mudbound,Chicago Film Critics,2017,Best Supporting Actor,0,3
Michael Stuhlbarg,Call Me by Your Name,Chicago Film Critics,2017,Best Supporting Actor,0,3
Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",Chicago Film Critics,2017,Best Supporting Actor,0,3
Laurie Metcalf,Lady Bird,Chicago Film Critics,2017,Best Supporting Actress,1,3
Allison Janney,"I, Tonya",Chicago Film Critics,2017,Best Supporting Actress,0,3
Holly Hunter,The Big Sick,Chicago Film Critics,2017,Best Supporting Actress,0,3
Lesley Manville,Phantom Thread,Chicago Film Critics,2017,Best Supporting Actress,0,3
Mary J. Blige,Mudbound,Chicago Film Critics,2017,Best Supporting Actress,0,3
Lady Bird,Greta Gerwig,Chicago Film Critics,2017,Most Promising Filmmaker,1,3
Columbus,Kogonada,Chicago Film Critics,2017,Most Promising Filmmaker,0,3
Get Out,Jordan Peele,Chicago Film Critics,2017,Most Promising Filmmaker,0,3
Lucky,John Carroll Lynch,Chicago Film Critics,2017,Most Promising Filmmaker,0,3
Raw,Julia Ducournau,Chicago Film Critics,2017,Most Promising Filmmaker,0,3
Call Me by Your Name,Timothée Chalamet,Chicago Film Critics,2017,Most Promising Performer,1,3
Lady Macbeth,Florence Pugh,Chicago Film Critics,2017,Most Promising Performer,0,3
Logan,Dafne Keen,Chicago Film Critics,2017,Most Promising Performer,0,3
Princess Cyd,Jessie Pinnick,Chicago Film Critics,2017,Most Promising Performer,0,3
The Florida Project,Bria Vinaite,Chicago Film Critics,2017,Most Promising Performer,0,3
The Florida Project,Brooklynn Prince,Chicago Film Critics,2017,Most Promising Performer,0,3
Casey Affleck,Manchester by the Sea,Chicago Film Critics,2016,Best Actor,1,4
Adam Driver,Paterson,Chicago Film Critics,2016,Best Actor,0,4
Colin Farrell,The Lobster,Chicago Film Critics,2016,Best Actor,0,4
Denzel Washington,Fences,Chicago Film Critics,2016,Best Actor,0,4
Joel Edgerton,Loving,Chicago Film Critics,2016,Best Actor,0,4
Natalie Portman,Jackie,Chicago Film Critics,2016,Best Actress,1,4
Amy Adams,Arrival,Chicago Film Critics,2016,Best Actress,0,4
Emma Stone,La La Land,Chicago Film Critics,2016,Best Actress,0,4
Isabelle Huppert,Elle,Chicago Film Critics,2016,Best Actress,0,4
Rebecca Hall,Christine,Chicago Film Critics,2016,Best Actress,0,4
The Handmaiden,"Seo-kyeong Jeong, Chan-wook Park",Chicago Film Critics,2016,Best Adapted Screenplay,1,4
Arrival,Eric Heisserer,Chicago Film Critics,2016,Best Adapted Screenplay,0,4
Elle,David Birke,Chicago Film Critics,2016,Best Adapted Screenplay,0,4
Love & Friendship,Whit Stillman,Chicago Film Critics,2016,Best Adapted Screenplay,0,4
Silence,"Jay Cocks, Martin Scorsese",Chicago Film Critics,2016,Best Adapted Screenplay,0,4
Kubo and the Two Strings,,Chicago Film Critics,2016,Best Animated Feature,1,4
Moana,,Chicago Film Critics,2016,Best Animated Feature,0,4
The Red Turtle,,Chicago Film Critics,2016,Best Animated Feature,0,4
Tower,,Chicago Film Critics,2016,Best Animated Feature,0,4
Zootopia,,Chicago Film Critics,2016,Best Animated Feature,0,4
The Handmaiden,Seong-hie Ryu,Chicago Film Critics,2016,Best Art Direction/Production Design,1,4
Jackie,Jean Rabasse,Chicago Film Critics,2016,Best Art Direction/Production Design,0,4
La La Land,David Wasco,Chicago Film Critics,2016,Best Art Direction/Production Design,0,4
The Neon Demon,Elliott Hostetter,Chicago Film Critics,2016,Best Art Direction/Production Design,0,4
The Witch,Craig Lathrop,Chicago Film Critics,2016,Best Art Direction/Production Design,0,4
La La Land,Linus Sandgren,Chicago Film Critics,2016,Best Cinematography,1,4
Jackie,Stéphane Fontaine,Chicago Film Critics,2016,Best Cinematography,0,4
Moonlight,James Laxton,Chicago Film Critics,2016,Best Cinematography,0,4
Silence,Rodrigo Prieto,Chicago Film Critics,2016,Best Cinematography,0,4
The Handmaiden,Chung-hoon Chung,Chicago Film Critics,2016,Best Cinematography,0,4
Barry Jenkins,Moonlight,Chicago Film Critics,2016,Best Director,1,4
Chan-wook Park,The Handmaiden,Chicago Film Critics,2016,Best Director,0,4
Damien Chazelle,La La Land,Chicago Film Critics,2016,Best Director,0,4
Kenneth Lonergan,Manchester by the Sea,Chicago Film Critics,2016,Best Director,0,4
Pablo Larraín,Jackie,Chicago Film Critics,2016,Best Director,0,4
O.J.: Made in America,,Chicago Film Critics,2016,Best Documentary,1,4
Cameraperson,,Chicago Film Critics,2016,Best Documentary,0,4
"Life, Animated",,Chicago Film Critics,2016,Best Documentary,0,4
Tower,,Chicago Film Critics,2016,Best Documentary,0,4
Weiner,,Chicago Film Critics,2016,Best Documentary,0,4
La La Land,Tom Cross,Chicago Film Critics,2016,Best Editing,1,4
Cameraperson,Nels Bangerter,Chicago Film Critics,2016,Best Editing,0,4
Jackie,Sebastián Sepúlveda,Chicago Film Critics,2016,Best Editing,0,4
Manchester by the Sea,Jennifer Lame,Chicago Film Critics,2016,Best Editing,0,4
Moonlight,"Joi McMillon, Nat Sanders",Chicago Film Critics,2016,Best Editing,0,4
The Handmaiden,,Chicago Film Critics,2016,Best Foreign Language Film,1,4
Elle,,Chicago Film Critics,2016,Best Foreign Language Film,0,4
Julieta,,Chicago Film Critics,2016,Best Foreign Language Film,0,4
Neruda,,Chicago Film Critics,2016,Best Foreign Language Film,0,4
Toni Erdmann,,Chicago Film Critics,2016,Best Foreign Language Film,0,4
Jackie,Mica Levi,Chicago Film Critics,2016,Best Original Score,1,4
Arrival,Jóhann Jóhannsson,Chicago Film Critics,2016,Best Original Score,0,4
La La Land,Justin Hurwitz,Chicago Film Critics,2016,Best Original Score,0,4
Moonlight,Nicholas Britell,Chicago Film Critics,2016,Best Original Score,0,4
The Neon Demon,Cliff Martinez,Chicago Film Critics,2016,Best Original Score,0,4
Manchester by the Sea,Kenneth Lonergan,Chicago Film Critics,2016,Best Original Screenplay,1,4
Hell or High Water,Taylor Sheridan,Chicago Film Critics,2016,Best Original Screenplay,0,4
Jackie,Noah Oppenheim,Chicago Film Critics,2016,Best Original Screenplay,0,4
Moonlight,Barry Jenkins,Chicago Film Critics,2016,Best Original Screenplay,0,4
The Lobster,"Yorgos Lanthimos, Efthymis Filippou",Chicago Film Critics,2016,Best Original Screenplay,0,4
Moonlight,,Chicago Film Critics,2016,Best Picture,1,4
Jackie,,Chicago Film Critics,2016,Best Picture,0,4
La La Land,,Chicago Film Critics,2016,Best Picture,0,4
Manchester by the Sea,,Chicago Film Critics,2016,Best Picture,0,4
The Handmaiden,,Chicago Film Critics,2016,Best Picture,0,4
Mahershala Ali,Moonlight,Chicago Film Critics,2016,Best Supporting Actor,1,4
Alden Ehrenreich,"Hail, Caesar!",Chicago Film Critics,2016,Best Supporting Actor,0,4
Ben Foster,Hell or High Water,Chicago Film Critics,2016,Best Supporting Actor,0,4
Lucas Hedges,Manchester by the Sea,Chicago Film Critics,2016,Best Supporting Actor,0,4
Michael Shannon,Nocturnal Animals,Chicago Film Critics,2016,Best Supporting Actor,0,4
Trevante Rhodes,Moonlight,Chicago Film Critics,2016,Best Supporting Actor,0,4
Michelle Williams,Manchester by the Sea,Chicago Film Critics,2016,Best Supporting Actress,1,4
Janelle Monáe,Hidden Figures,Chicago Film Critics,2016,Best Supporting Actress,0,4
Lily Gladstone,Certain Women,Chicago Film Critics,2016,Best Supporting Actress,0,4
Naomie Harris,Moonlight,Chicago Film Critics,2016,Best Supporting Actress,0,4
Viola Davis,Fences,Chicago Film Critics,2016,Best Supporting Actress,0,4
The Witch,Robert Eggers,Chicago Film Critics,2016,Most Promising Filmmaker,1,4
Krisha,Trey Edward Shults,Chicago Film Critics,2016,Most Promising Filmmaker,0,4
Kubo and the Two Strings,Travis Knight,Chicago Film Critics,2016,Most Promising Filmmaker,0,4
The Edge of Seventeen,Kelly Fremon Craig,Chicago Film Critics,2016,Most Promising Filmmaker,0,4
The Fits,Anna Rose Holmer,Chicago Film Critics,2016,Most Promising Filmmaker,0,4
Manchester by the Sea,Lucas Hedges,Chicago Film Critics,2016,Most Promising Performer,1,4
Certain Women,Lily Gladstone,Chicago Film Critics,2016,Most Promising Performer,0,4
"Hidden Figures, Moonlight",Janelle Monáe,Chicago Film Critics,2016,Most Promising Performer,0,4
Moonlight,Trevante Rhodes,Chicago Film Critics,2016,Most Promising Performer,0,4
The Fits,Royalty Hightower,Chicago Film Critics,2016,Most Promising Performer,0,4
Leonardo DiCaprio,The Revenant,Chicago Film Critics,2015,Best Actor,1,5
Christopher Abbott,James White,Chicago Film Critics,2015,Best Actor,0,5
Eddie Redmayne,The Danish Girl,Chicago Film Critics,2015,Best Actor,0,5
Jason Segel,The End of the Tour,Chicago Film Critics,2015,Best Actor,0,5
Michael Fassbender,Steve Jobs,Chicago Film Critics,2015,Best Actor,0,5
Brie Larson,Room,Chicago Film Critics,2015,Best Actress,1,5
Cate Blanchett,Carol,Chicago Film Critics,2015,Best Actress,0,5
Charlize Theron,Mad Max: Fury Road,Chicago Film Critics,2015,Best Actress,0,5
Charlotte Rampling,45 Years,Chicago Film Critics,2015,Best Actress,0,5
Saoirse Ronan,Brooklyn,Chicago Film Critics,2015,Best Actress,0,5
The Big Short,"Adam McKay, Charles Randolph",Chicago Film Critics,2015,Best Adapted Screenplay,1,5
Anomalisa,Charlie Kaufman,Chicago Film Critics,2015,Best Adapted Screenplay,0,5
Brooklyn,Nick Hornby,Chicago Film Critics,2015,Best Adapted Screenplay,0,5
Room,Emma Donoghue,Chicago Film Critics,2015,Best Adapted Screenplay,0,5
Steve Jobs,Aaron Sorkin,Chicago Film Critics,2015,Best Adapted Screenplay,0,5
Inside Out,,Chicago Film Critics,2015,Best Animated Film,1,5
Anomalisa,,Chicago Film Critics,2015,Best Animated Film,0,5
Shaun the Sheep Movie,,Chicago Film Critics,2015,Best Animated Film,0,5
The Good Dinosaur,,Chicago Film Critics,2015,Best Animated Film,0,5
The Peanuts Movie,,Chicago Film Critics,2015,Best Animated Film,0,5
Mad Max: Fury Road,,Chicago Film Critics,2015,Best Art Direction/Production Design,1,5
Brooklyn,,Chicago Film Critics,2015,Best Art Direction/Production Design,0,5
Carol,,Chicago Film Critics,2015,Best Art Direction/Production Design,0,5
Crimson Peak,,Chicago Film Critics,2015,Best Art Direction/Production Design,0,5
The Assassin,,Chicago Film Critics,2015,Best Art Direction/Production Design,0,5
Mad Max: Fury Road,John Seale,Chicago Film Critics,2015,Best Cinematography,1,5
Carol,Edward Lachman,Chicago Film Critics,2015,Best Cinematography,0,5
Sicario,Roger Deakins,Chicago Film Critics,2015,Best Cinematography,0,5
The Hateful Eight,Robert Richardson,Chicago Film Critics,2015,Best Cinematography,0,5
The Revenant,Emmanuel Lubezki,Chicago Film Critics,2015,Best Cinematography,0,5
George Miller,Mad Max: Fury Road,Chicago Film Critics,2015,Best Director,1,5
Adam McKay,The Big Short,Chicago Film Critics,2015,Best Director,0,5
Alejandro G. Iñárritu,The Revenant,Chicago Film Critics,2015,Best Director,0,5
Todd Haynes,Carol,Chicago Film Critics,2015,Best Director,0,5
Tom McCarthy,Spotlight,Chicago Film Critics,2015,Best Director,0,5
Amy,,Chicago Film Critics,2015,Best Documentary,1,5
Cartel Land,,Chicago Film Critics,2015,Best Documentary,0,5
The Hunting Ground,,Chicago Film Critics,2015,Best Documentary,0,5
The Look of Silence,,Chicago Film Critics,2015,Best Documentary,0,5
Where to Invade Next,,Chicago Film Critics,2015,Best Documentary,0,5
Mad Max: Fury Road,"Jason Ballantine, Margaret Sixel",Chicago Film Critics,2015,Best Editing,1,5
Spotlight,Tom McArdle,Chicago Film Critics,2015,Best Editing,0,5
The Big Short,Hank Corwin,Chicago Film Critics,2015,Best Editing,0,5
The Martian,Pietro Scalia,Chicago Film Critics,2015,Best Editing,0,5
The Revenant,Stephen Mirrione,Chicago Film Critics,2015,Best Editing,0,5
Son of Saul,,Chicago Film Critics,2015,Best Foreign Language Film,1,5
Phoenix,,Chicago Film Critics,2015,Best Foreign Language Film,0,5
The Assassin,,Chicago Film Critics,2015,Best Foreign Language Film,0,5
The Look of Silence,,Chicago Film Critics,2015,Best Foreign Language Film,0,5
White God,,Chicago Film Critics,2015,Best Foreign Language Film,0,5
The Hateful Eight,Ennio Morricone,Chicago Film Critics,2015,Best Original Score,1,5
Carol,Carter Burwell,Chicago Film Critics,2015,Best Original Score,0,5
Inside Out,Michael Giacchino,Chicago Film Critics,2015,Best Original Score,0,5
It Follows,Disasterpeace (as Disasterpeace),Chicago Film Critics,2015,Best Original Score,0,5
Mad Max: Fury Road,Junkie XL,Chicago Film Critics,2015,Best Original Score,0,5
Spotlight,"Tom McCarthy, Josh Singer",Chicago Film Critics,2015,Best Original Screenplay,1,5
Bridge of Spies,"Matt Charman, Joel Coen, Ethan Coen",Chicago Film Critics,2015,Best Original Screenplay,0,5
Ex Machina,Alex Garland,Chicago Film Critics,2015,Best Original Screenplay,0,5
Inside Out,"Pete Docter, Meg LeFauve, Josh Cooley",Chicago Film Critics,2015,Best Original Screenplay,0,5
The Hateful Eight,Quentin Tarantino,Chicago Film Critics,2015,Best Original Screenplay,0,5
Mad Max: Fury Road,,Chicago Film Critics,2015,Best Picture,1,5
Carol,,Chicago Film Critics,2015,Best Picture,0,5
Inside Out,,Chicago Film Critics,2015,Best Picture,0,5
Spotlight,,Chicago Film Critics,2015,Best Picture,0,5
The Revenant,,Chicago Film Critics,2015,Best Picture,0,5
Benicio Del Toro,Sicario,Chicago Film Critics,2015,Best Supporting Actor,1,5
Mark Rylance,Bridge of Spies,Chicago Film Critics,2015,Best Supporting Actor,0,5
Michael Shannon,99 Homes,Chicago Film Critics,2015,Best Supporting Actor,0,5
Sam Elliott,Grandma,Chicago Film Critics,2015,Best Supporting Actor,0,5
Sylvester Stallone,Creed,Chicago Film Critics,2015,Best Supporting Actor,0,5
Alicia Vikander,Ex Machina,Chicago Film Critics,2015,Best Supporting Actress,1,5
Cynthia Nixon,James White,Chicago Film Critics,2015,Best Supporting Actress,0,5
Jennifer Jason Leigh,The Hateful Eight,Chicago Film Critics,2015,Best Supporting Actress,0,5
Jennifer Jason Leigh,Anomalisa,Chicago Film Critics,2015,Best Supporting Actress,0,5
Kristen Stewart,Clouds of Sils Maria,Chicago Film Critics,2015,Best Supporting Actress,0,5
Ex Machina,Alex Garland,Chicago Film Critics,2015,Most Promising Filmmaker,1,5
James White,Josh Mond,Chicago Film Critics,2015,Most Promising Filmmaker,0,5
Love & Mercy,Bill Pohlad,Chicago Film Critics,2015,Most Promising Filmmaker,0,5
Son of Saul,László Nemes,Chicago Film Critics,2015,Most Promising Filmmaker,0,5
The Diary of a Teenage Girl,Marielle Heller,Chicago Film Critics,2015,Most Promising Filmmaker,0,5
Room,Jacob Tremblay,Chicago Film Critics,2015,Most Promising Performer,1,5
James White,Christopher Abbott,Chicago Film Critics,2015,Most Promising Performer,0,5
Son of Saul,Géza Röhrig,Chicago Film Critics,2015,Most Promising Performer,0,5
The Diary of a Teenage Girl,Bel Powley,Chicago Film Critics,2015,Most Promising Performer,0,5
Trainwreck,Amy Schumer,Chicago Film Critics,2015,Most Promising Performer,0,5
Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),Chicago Film Critics,2014,Best Actor,1,6
Benedict Cumberbatch,The Imitation Game,Chicago Film Critics,2014,Best Actor,0,6
David Oyelowo,Selma,Chicago Film Critics,2014,Best Actor,0,6
Eddie Redmayne,The Theory of Everything,Chicago Film Critics,2014,Best Actor,0,6
Jake Gyllenhaal,Nightcrawler,Chicago Film Critics,2014,Best Actor,0,6
Julianne Moore,Still Alice,Chicago Film Critics,2014,Best Actress,1,6
Marion Cotillard,"Two Days, One Night",Chicago Film Critics,2014,Best Actress,0,6
Reese Witherspoon,Wild,Chicago Film Critics,2014,Best Actress,0,6
Rosamund Pike,Gone Girl,Chicago Film Critics,2014,Best Actress,0,6
Scarlett Johansson,Under the Skin,Chicago Film Critics,2014,Best Actress,0,6
Gone Girl,Gillian Flynn,Chicago Film Critics,2014,Best Adapted Screenplay,1,6
Inherent Vice,Paul Thomas Anderson,Chicago Film Critics,2014,Best Adapted Screenplay,0,6
The Imitation Game,Graham Moore,Chicago Film Critics,2014,Best Adapted Screenplay,0,6
Under the Skin,"Walter Campbell, Jonathan Glazer",Chicago Film Critics,2014,Best Adapted Screenplay,0,6
Wild,Nick Hornby,Chicago Film Critics,2014,Best Adapted Screenplay,0,6
The Lego Movie,,Chicago Film Critics,2014,Best Animated Feature,1,6
Big Hero 6,,Chicago Film Critics,2014,Best Animated Feature,0,6
How to Train Your Dragon 2,,Chicago Film Critics,2014,Best Animated Feature,0,6
The Boxtrolls,,Chicago Film Critics,2014,Best Animated Feature,0,6
The Tale of The Princess Kaguya,,Chicago Film Critics,2014,Best Animated Feature,0,6
The Grand Budapest Hotel,,Chicago Film Critics,2014,Best Art Direction/Production Design,1,6
Interstellar,,Chicago Film Critics,2014,Best Art Direction/Production Design,0,6
Into the Woods,,Chicago Film Critics,2014,Best Art Direction/Production Design,0,6
Only Lovers Left Alive,,Chicago Film Critics,2014,Best Art Direction/Production Design,0,6
Snowpiercer,,Chicago Film Critics,2014,Best Art Direction/Production Design,0,6
Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,Chicago Film Critics,2014,Best Cinematography,1,6
The Grand Budapest Hotel,Robert D. Yeoman,Chicago Film Critics,2014,Best Cinematography,0,6
Ida,"Ryszard Lenczewski, Lukasz Zal",Chicago Film Critics,2014,Best Cinematography,0,6
Inherent Vice,Robert Elswit,Chicago Film Critics,2014,Best Cinematography,0,6
Interstellar,Hoyte Van Hoytema,Chicago Film Critics,2014,Best Cinematography,0,6
Richard Linklater,Boyhood,Chicago Film Critics,2014,Best Director,1,6
Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance),Chicago Film Critics,2014,Best Director,0,6
Christopher Nolan,Interstellar,Chicago Film Critics,2014,Best Director,0,6
David Fincher,Gone Girl,Chicago Film Critics,2014,Best Director,0,6
Wes Anderson,The Grand Budapest Hotel,Chicago Film Critics,2014,Best Director,0,6
Life Itself,,Chicago Film Critics,2014,Best Documentary,1,6
Citizenfour,,Chicago Film Critics,2014,Best Documentary,0,6
Jodorowsky's Dune,,Chicago Film Critics,2014,Best Documentary,0,6
Last Days in Vietnam,,Chicago Film Critics,2014,Best Documentary,0,6
The Overnighters,,Chicago Film Critics,2014,Best Documentary,0,6
Whiplash,Tom Cross,Chicago Film Critics,2014,Best Editing,1,6
Birdman or (The Unexpected Virtue of Ignorance),"Douglas Crise, Stephen Mirrione",Chicago Film Critics,2014,Best Editing,0,6
Boyhood,Sandra Adair,Chicago Film Critics,2014,Best Editing,0,6
Gone Girl,Kirk Baxter,Chicago Film Critics,2014,Best Editing,0,6
The Grand Budapest Hotel,Barney Pilling,Chicago Film Critics,2014,Best Editing,0,6
Force Majeure,,Chicago Film Critics,2014,Best Foreign Language Film,1,6
Ida,,Chicago Film Critics,2014,Best Foreign Language Film,0,6
Mommy,,Chicago Film Critics,2014,Best Foreign Language Film,0,6
The Raid 2,,Chicago Film Critics,2014,Best Foreign Language Film,0,6
"Two Days, One Night",,Chicago Film Critics,2014,Best Foreign Language Film,0,6
Under the Skin,Mica Levi,Chicago Film Critics,2014,Best Original Score,1,6
Birdman or (The Unexpected Virtue of Ignorance),Antonio Sanchez,Chicago Film Critics,2014,Best Original Score,0,6
Interstellar,Hans Zimmer,Chicago Film Critics,2014,Best Original Score,0,6
The Grand Budapest Hotel,Alexandre Desplat,Chicago Film Critics,2014,Best Original Score,0,6
The Imitation Game,Alexandre Desplat,Chicago Film Critics,2014,Best Original Score,0,6
The Grand Budapest Hotel,Wes Anderson,Chicago Film Critics,2014,Best Original Screenplay,1,6
Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris, Armando Bo",Chicago Film Critics,2014,Best Original Screenplay,0,6
Boyhood,Richard Linklater,Chicago Film Critics,2014,Best Original Screenplay,0,6
Calvary,John Michael McDonagh,Chicago Film Critics,2014,Best Original Screenplay,0,6
Whiplash,Damien Chazelle,Chicago Film Critics,2014,Best Original Screenplay,0,6
Boyhood,,Chicago Film Critics,2014,Best Picture,1,6
Birdman or (The Unexpected Virtue of Ignorance),,Chicago Film Critics,2014,Best Picture,0,6
The Grand Budapest Hotel,,Chicago Film Critics,2014,Best Picture,0,6
Under the Skin,,Chicago Film Critics,2014,Best Picture,0,6
Whiplash,,Chicago Film Critics,2014,Best Picture,0,6
J.K. Simmons,Whiplash,Chicago Film Critics,2014,Best Supporting Actor,1,6
Edward Norton,Birdman or (The Unexpected Virtue of Ignorance),Chicago Film Critics,2014,Best Supporting Actor,0,6
Ethan Hawke,Boyhood,Chicago Film Critics,2014,Best Supporting Actor,0,6
Josh Brolin,Inherent Vice,Chicago Film Critics,2014,Best Supporting Actor,0,6
Mark Ruffalo,Foxcatcher,Chicago Film Critics,2014,Best Supporting Actor,0,6
Patricia Arquette,Boyhood,Chicago Film Critics,2014,Best Supporting Actress,1,6
Agata Kulesza,Ida,Chicago Film Critics,2014,Best Supporting Actress,0,6
Emma Stone,Birdman or (The Unexpected Virtue of Ignorance),Chicago Film Critics,2014,Best Supporting Actress,0,6
Jessica Chastain,A Most Violent Year,Chicago Film Critics,2014,Best Supporting Actress,0,6
Laura Dern,Wild,Chicago Film Critics,2014,Best Supporting Actress,0,6
Whiplash,Damien Chazelle,Chicago Film Critics,2014,Most Promising Filmmaker,1,6
Blue Ruin,Jeremy Saulnier,Chicago Film Critics,2014,Most Promising Filmmaker,0,6
Dear White People,Justin Simien,Chicago Film Critics,2014,Most Promising Filmmaker,0,6
Nightcrawler,Dan Gilroy,Chicago Film Critics,2014,Most Promising Filmmaker,0,6
The Babadook,Jennifer Kent,Chicago Film Critics,2014,Most Promising Filmmaker,0,6
"Starred Up, Unbroken",Jack O'Connell,Chicago Film Critics,2014,Most Promising Performer,1,6
"Belle, Beyond the Lights",Gugu Mbatha-Raw,Chicago Film Critics,2014,Most Promising Performer,0,6
Boyhood,Ellar Coltrane,Chicago Film Critics,2014,Most Promising Performer,0,6
Ida,Agata Trzebuchowska,Chicago Film Critics,2014,Most Promising Performer,0,6
Obvious Child,Jenny Slate,Chicago Film Critics,2014,Most Promising Performer,0,6
The Grand Budapest Hotel,Tony Revolori,Chicago Film Critics,2014,Most Promising Performer,0,6
Chiwetel Ejiofor,12 Years a Slave,Chicago Film Critics,2013,Best Actor,1,7
Bruce Dern,Nebraska,Chicago Film Critics,2013,Best Actor,0,7
Matthew McConaughey,Dallas Buyers Club,Chicago Film Critics,2013,Best Actor,0,7
Oscar Isaac,Inside Llewyn Davis,Chicago Film Critics,2013,Best Actor,0,7
Robert Redford,All Is Lost,Chicago Film Critics,2013,Best Actor,0,7
Cate Blanchett,Blue Jasmine,Chicago Film Critics,2013,Best Actress,1,7
Adèle Exarchopoulos,Blue Is the Warmest Color,Chicago Film Critics,2013,Best Actress,0,7
Brie Larson,Short Term 12,Chicago Film Critics,2013,Best Actress,0,7
Meryl Streep,August: Osage County,Chicago Film Critics,2013,Best Actress,0,7
Sandra Bullock,Gravity,Chicago Film Critics,2013,Best Actress,0,7
12 Years a Slave,John Ridley,Chicago Film Critics,2013,Best Adapted Screenplay,1,7
August: Osage County,Tracy Letts,Chicago Film Critics,2013,Best Adapted Screenplay,0,7
Before Midnight,"Richard Linklater, Julie Delpy, Ethan Hawke",Chicago Film Critics,2013,Best Adapted Screenplay,0,7
Philomena,"Steve Coogan, Jeff Pope",Chicago Film Critics,2013,Best Adapted Screenplay,0,7
The Wolf of Wall Street,Terence Winter,Chicago Film Critics,2013,Best Adapted Screenplay,0,7
The Wind Rises,,Chicago Film Critics,2013,Best Animated Feature,1,7
From Up on Poppy Hill,,Chicago Film Critics,2013,Best Animated Feature,0,7
Frozen,,Chicago Film Critics,2013,Best Animated Feature,0,7
Monsters University,,Chicago Film Critics,2013,Best Animated Feature,0,7
The Croods,,Chicago Film Critics,2013,Best Animated Feature,0,7
Gravity,"Mark Scruton, Andy Nicholson",Chicago Film Critics,2013,Best Art Direction/Production Design,1,7
12 Years a Slave,"David Stein, Adam Stockhausen",Chicago Film Critics,2013,Best Art Direction/Production Design,0,7
Her,"K.K. Barrett, Austin Gorg",Chicago Film Critics,2013,Best Art Direction/Production Design,0,7
Inside Llewyn Davis,"Jess Gonchor, Deborah Jensen",Chicago Film Critics,2013,Best Art Direction/Production Design,0,7
The Great Gatsby,"Catherine Martin, Karen Murphy, Damien Drew, Ian Gracie, Michael Turner",Chicago Film Critics,2013,Best Art Direction/Production Design,0,7
Gravity,Emmanuel Lubezki,Chicago Film Critics,2013,Best Cinematography,1,7
12 Years a Slave,Sean Bobbitt,Chicago Film Critics,2013,Best Cinematography,0,7
Her,Hoyte Van Hoytema,Chicago Film Critics,2013,Best Cinematography,0,7
Inside Llewyn Davis,Bruno Delbonnel,Chicago Film Critics,2013,Best Cinematography,0,7
Prisoners,Roger Deakins,Chicago Film Critics,2013,Best Cinematography,0,7
Steve McQueen,12 Years a Slave,Chicago Film Critics,2013,Best Director,1,7
